"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32"
"cell_101" "2" "0" "8" "0" "2" "2" "0" "2" "2" "3" "2" "2" "2" "0" "14" "2" "4" "0" "3" "2" "4" "2" "2" "3" "2" "2" "0" "0" "0" "3" "2" "0"
"cell_102" "2" "5" "8" "0" "2" "2" "0" "2" "2" "3" "2" "2" "2" "0" "14" "2" "4" "0" "3" "2" "4" "2" "2" "3" "0" "3" "0" "0" "0" "3" "2" "5"
"cell_103" "2" "2" "8" "0" "2" "2" "0" "2" "2" "3" "0" "0" "0" "0" "14" "2" "4" "5" "3" "2" "4" "2" "2" "3" "0" "0" "0" "0" "0" "3" "2" "4"
"cell_104" "2" "0" "8" "0" "2" "2" "0" "2" "2" "3" "0" "0" "0" "0" "14" "2" "4" "5" "3" "2" "4" "2" "2" "3" "0" "0" "0" "0" "0" "3" "2" "4"
"cell_105" "2" "5" "8" "5" "2" "2" "2" "0" "2" "3" "2" "0" "13" "0" "14" "2" "4" "0" "3" "0" "4" "2" "2" "3" "2" "2" "2" "0" "2" "0" "2" "3"
"cell_106" "2" "5" "8" "5" "2" "2" "0" "0" "2" "3" "2" "0" "0" "0" "14" "2" "4" "0" "3" "2" "4" "2" "2" "3" "2" "2" "2" "0" "2" "0" "2" "0"
"cell_107" "2" "5" "8" "5" "2" "2" "0" "0" "2" "3" "0" "0" "2" "2" "14" "2" "4" "0" "3" "0" "4" "2" "2" "3" "2" "2" "2" "0" "2" "0" "2" "0"
"cell_108" "2" "5" "8" "5" "2" "2" "0" "0" "2" "3" "0" "0" "0" "0" "14" "2" "4" "0" "3" "0" "4" "2" "2" "3" "2" "2" "2" "0" "2" "0" "2" "0"
"cell_109" "2" "0" "8" "5" "2" "2" "2" "0" "2" "3" "3" "5" "0" "0" "14" "2" "4" "0" "3" "0" "4" "2" "2" "3" "2" "2" "0" "2" "0" "2" "2" "0"
"cell_110" "2" "0" "8" "5" "2" "2" "2" "0" "2" "3" "4" "0" "0" "0" "14" "2" "4" "0" "3" "0" "4" "2" "2" "3" "2" "2" "0" "2" "0" "2" "2" "0"
"cell_111" "2" "0" "8" "5" "2" "2" "2" "0" "2" "3" "0" "0" "3" "0" "14" "2" "4" "0" "3" "0" "4" "2" "2" "3" "2" "2" "0" "2" "0" "2" "2" "0"
"cell_112" "2" "0" "8" "5" "2" "2" "2" "0" "2" "3" "0" "4" "0" "0" "14" "2" "4" "0" "3" "0" "4" "2" "2" "3" "2" "2" "0" "2" "0" "2" "2" "0"
"cell_113" "2" "0" "8" "0" "2" "2" "3" "0" "2" "3" "0" "0" "2" "3" "5" "5" "4" "0" "3" "0" "4" "2" "2" "3" "0" "4" "10" "0" "0" "5" "2" "0"
"cell_114" "2" "0" "8" "0" "2" "2" "3" "0" "2" "3" "0" "0" "0" "0" "5" "5" "4" "0" "3" "0" "4" "2" "2" "3" "0" "4" "0" "0" "0" "5" "2" "0"
"cell_115" "2" "0" "8" "0" "2" "2" "3" "0" "2" "3" "0" "0" "0" "4" "29" "5" "4" "0" "3" "0" "4" "2" "2" "3" "2" "4" "0" "2" "5" "5" "2" "0"
"cell_116" "2" "2" "8" "0" "2" "2" "3" "0" "2" "3" "0" "0" "2" "4" "29" "5" "4" "0" "3" "0" "4" "2" "2" "3" "0" "4" "2" "2" "0" "5" "2" "0"
"cell_117" "2" "0" "8" "0" "2" "2" "2" "0" "2" "3" "0" "0" "0" "2" "0" "5" "4" "0" "3" "0" "4" "2" "2" "3" "0" "4" "2" "0" "5" "5" "2" "0"
"cell_118" "2" "0" "8" "2" "2" "2" "0" "0" "2" "3" "0" "0" "0" "2" "0" "5" "4" "0" "3" "0" "4" "2" "2" "3" "0" "4" "2" "0" "0" "5" "2" "0"
"cell_119" "2" "0" "8" "0" "2" "2" "0" "2" "2" "3" "0" "0" "5" "2" "0" "5" "4" "0" "3" "14" "4" "2" "2" "3" "0" "4" "5" "0" "0" "5" "2" "0"
"cell_120" "2" "0" "8" "0" "2" "2" "0" "2" "2" "3" "0" "0" "5" "2" "0" "5" "4" "0" "3" "0" "4" "2" "2" "3" "0" "4" "0" "0" "0" "5" "2" "0"
"cell_121" "2" "4" "8" "0" "2" "2" "0" "0" "2" "3" "0" "2" "0" "0" "2" "5" "4" "3" "3" "0" "4" "2" "2" "3" "3" "0" "0" "0" "0" "0" "2" "2"
"cell_122" "2" "3" "8" "0" "2" "2" "0" "0" "2" "3" "0" "2" "0" "5" "2" "5" "4" "0" "3" "0" "4" "2" "2" "3" "3" "0" "0" "0" "0" "0" "2" "2"
"cell_123" "2" "0" "8" "0" "2" "2" "2" "0" "2" "3" "0" "0" "0" "2" "0" "5" "4" "0" "3" "0" "4" "2" "2" "3" "3" "0" "0" "0" "0" "5" "2" "5"
"cell_124" "2" "0" "8" "0" "2" "2" "0" "0" "2" "3" "0" "0" "0" "2" "0" "5" "4" "0" "3" "0" "4" "2" "2" "3" "3" "0" "2" "0" "0" "0" "2" "4"
"cell_125" "2" "0" "8" "0" "2" "2" "0" "0" "2" "3" "0" "0" "2" "0" "0" "5" "4" "2" "3" "0" "4" "2" "2" "3" "3" "0" "0" "0" "0" "0" "2" "2"
"cell_126" "2" "0" "8" "0" "2" "2" "0" "0" "2" "3" "0" "0" "0" "0" "0" "5" "4" "2" "3" "0" "4" "2" "2" "3" "3" "0" "0" "0" "0" "0" "2" "2"
"cell_127" "2" "2" "8" "4" "2" "2" "0" "0" "2" "3" "0" "2" "0" "0" "0" "5" "4" "2" "3" "0" "4" "2" "2" "3" "0" "0" "0" "0" "0" "0" "2" "2"
"cell_128" "2" "0" "8" "0" "2" "2" "0" "2" "2" "3" "0" "0" "0" "0" "0" "5" "4" "2" "3" "0" "4" "2" "2" "3" "0" "0" "0" "5" "0" "0" "2" "2"
"cell_129" "2" "0" "2" "0" "5" "0" "5" "2" "0" "2" "0" "4" "3" "2" "5" "3" "4" "8" "0" "4" "0" "34" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0"
