"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
"4493.91" "0" "0" "0" "4" "2" "2" "0" "0" "2" "0" "0" "0" "0" "2" "0" "0" "2" "0" "2" "0" "0" "11" "0" "2" "2" "0" "5" "0" "0" "37" "3" "0" "1"
"4493.92" "0" "0" "0" "4" "2" "0" "0" "0" "2" "0" "0" "59" "4" "0" "0" "0" "2" "2" "2" "0" "0" "11" "0" "2" "2" "3" "5" "0" "2" "37" "3" "0" "1"
"4493.93" "0" "3" "3" "4" "2" "0" "0" "5" "0" "6" "0" "2" "0" "0" "0" "0" "2" "0" "2" "4" "2" "11" "2" "2" "2" "0" "0" "3" "5" "37" "3" "0" "1"
"4493.94" "0" "0" "3" "4" "2" "0" "0" "5" "0" "6" "2" "2" "0" "0" "0" "0" "2" "0" "2" "4" "2" "11" "2" "2" "2" "0" "0" "3" "5" "37" "3" "0" "1"
"4493.95" "0" "0" "3" "4" "2" "0" "0" "5" "0" "0" "0" "2" "5" "0" "0" "0" "2" "2" "2" "4" "2" "11" "0" "2" "2" "0" "0" "3" "5" "37" "3" "3" "1"
"4493.96" "0" "0" "3" "4" "2" "0" "0" "5" "2" "0" "0" "2" "0" "0" "0" "0" "2" "2" "2" "4" "2" "11" "0" "2" "2" "0" "0" "3" "5" "37" "3" "0" "1"
"4493.97" "0" "0" "3" "2" "2" "0" "0" "0" "0" "0" "0" "0" "0" "5" "2" "0" "2" "3" "2" "0" "0" "2" "4" "2" "2" "0" "0" "55" "3" "37" "8" "3" "1"
"4493.98" "0" "0" "3" "2" "2" "0" "0" "0" "0" "0" "0" "0" "27" "5" "2" "0" "2" "3" "2" "0" "132" "2" "4" "2" "2" "0" "0" "55" "3" "37" "8" "3" "1"
"4493.99" "0" "0" "3" "0" "2" "0" "0" "0" "0" "0" "0" "0" "0" "5" "2" "0" "2" "3" "2" "0" "0" "0" "4" "2" "2" "0" "0" "55" "3" "37" "8" "0" "1"
"4493.100" "0" "0" "3" "0" "2" "0" "0" "0" "0" "0" "0" "0" "0" "5" "2" "0" "2" "3" "2" "0" "0" "0" "4" "2" "2" "0" "0" "55" "3" "37" "8" "0" "1"
"4493.101" "0" "0" "3" "0" "2" "5" "0" "2" "0" "2" "0" "0" "0" "5" "0" "0" "2" "3" "2" "0" "0" "0" "4" "2" "2" "5" "0" "55" "3" "37" "8" "0" "1"
"4493.102" "0" "0" "3" "12" "2" "5" "0" "2" "2" "2" "2" "3" "0" "5" "0" "0" "2" "3" "2" "0" "0" "0" "4" "2" "2" "5" "0" "55" "3" "37" "8" "0" "1"
"4493.103" "0" "0" "3" "0" "2" "0" "0" "0" "0" "0" "8" "0" "0" "5" "0" "0" "2" "3" "2" "0" "0" "0" "4" "2" "2" "5" "0" "55" "3" "37" "8" "0" "1"
"4493.104" "0" "0" "3" "0" "2" "0" "0" "0" "5" "0" "8" "0" "0" "5" "0" "0" "2" "3" "2" "0" "2" "0" "4" "2" "2" "5" "0" "55" "3" "37" "8" "0" "1"
"4493.105" "0" "0" "3" "0" "2" "38" "2" "2" "0" "0" "0" "0" "0" "5" "0" "0" "2" "3" "2" "0" "0" "2" "4" "2" "2" "0" "8" "55" "3" "37" "8" "0" "1"
"4493.106" "0" "0" "3" "0" "2" "38" "2" "2" "5" "0" "0" "0" "0" "5" "0" "0" "2" "3" "2" "5" "0" "2" "4" "2" "2" "0" "8" "55" "3" "37" "8" "0" "1"
"4493.107" "0" "0" "3" "0" "2" "38" "0" "2" "0" "0" "0" "0" "0" "5" "0" "0" "2" "3" "2" "0" "0" "2" "4" "2" "2" "0" "8" "55" "3" "37" "8" "0" "1"
"4493.108" "0" "0" "3" "0" "2" "38" "0" "2" "0" "0" "0" "0" "0" "5" "0" "0" "2" "3" "2" "0" "0" "2" "4" "2" "2" "0" "8" "55" "3" "37" "8" "3" "1"
"4493.109" "0" "0" "3" "0" "2" "5" "0" "2" "0" "0" "2" "0" "2" "5" "0" "0" "2" "3" "2" "0" "0" "0" "4" "2" "2" "2" "0" "55" "3" "37" "8" "0" "1"
"4493.110" "0" "0" "3" "0" "2" "5" "0" "2" "2" "0" "2" "0" "2" "5" "0" "0" "2" "3" "2" "0" "0" "0" "4" "2" "2" "0" "0" "55" "3" "37" "8" "0" "1"
"4493.111" "0" "2" "3" "0" "2" "5" "0" "2" "0" "0" "2" "2" "0" "5" "0" "0" "2" "3" "2" "0" "0" "0" "4" "2" "2" "0" "0" "55" "3" "37" "8" "20" "1"
"4493.112" "0" "2" "3" "0" "2" "5" "0" "2" "0" "0" "2" "2" "0" "5" "0" "0" "2" "3" "2" "0" "0" "0" "4" "2" "2" "0" "0" "55" "3" "37" "8" "0" "1"
"4493.113" "0" "0" "0" "3" "2" "0" "0" "0" "2" "2" "0" "0" "0" "0" "0" "0" "2" "3" "2" "2" "3" "2" "4" "2" "2" "30" "2" "0" "3" "37" "3" "2" "1"
"4493.114" "0" "31" "0" "3" "2" "0" "0" "0" "2" "0" "11" "0" "0" "0" "0" "0" "2" "3" "2" "2" "3" "2" "4" "2" "2" "0" "2" "0" "3" "37" "3" "2" "1"
"4493.115" "0" "0" "0" "3" "2" "2" "0" "0" "2" "11" "0" "0" "0" "0" "0" "5" "2" "3" "2" "2" "0" "2" "4" "2" "2" "2" "2" "0" "3" "37" "3" "0" "1"
"4493.116" "0" "3" "0" "3" "2" "0" "4" "0" "2" "2" "0" "0" "0" "0" "0" "4" "2" "3" "2" "2" "0" "2" "4" "2" "2" "2" "2" "0" "3" "37" "3" "0" "1"
"4493.117" "0" "0" "0" "3" "2" "0" "0" "0" "2" "5" "2" "0" "0" "57" "0" "0" "2" "3" "2" "2" "0" "0" "4" "2" "2" "0" "2" "0" "3" "37" "3" "2" "1"
"4493.118" "0" "0" "0" "3" "2" "0" "0" "0" "2" "5" "2" "0" "0" "57" "0" "0" "2" "3" "2" "2" "0" "0" "4" "2" "2" "0" "2" "2" "3" "37" "3" "2" "1"
"4493.119" "0" "0" "2" "3" "2" "0" "0" "0" "2" "5" "2" "0" "0" "0" "0" "0" "2" "3" "2" "2" "0" "0" "4" "2" "2" "0" "2" "0" "3" "37" "3" "4" "1"
"4493.120" "0" "0" "0" "3" "2" "0" "0" "0" "2" "5" "2" "0" "0" "0" "0" "0" "2" "3" "2" "2" "0" "0" "4" "2" "2" "4" "2" "0" "3" "37" "3" "0" "1"
"4493.121" "0" "0" "0" "3" "2" "5" "0" "0" "2" "0" "5" "0" "0" "0" "0" "0" "2" "3" "2" "2" "2" "0" "4" "2" "2" "0" "2" "2" "3" "37" "3" "0" "1"
"4493.122" "0" "0" "0" "3" "2" "0" "0" "0" "2" "0" "5" "0" "0" "0" "0" "0" "2" "3" "2" "2" "2" "0" "4" "2" "2" "0" "2" "2" "3" "37" "3" "0" "1"
"4493.123" "0" "0" "0" "3" "2" "0" "0" "0" "2" "0" "5" "3" "0" "2" "0" "0" "2" "3" "2" "2" "2" "0" "4" "2" "2" "0" "2" "0" "3" "37" "3" "0" "1"
"4493.124" "2" "0" "2" "3" "2" "4" "0" "0" "2" "0" "5" "0" "0" "2" "0" "0" "2" "3" "2" "2" "2" "0" "4" "2" "2" "0" "2" "0" "3" "37" "3" "12" "1"
"4493.125" "2" "0" "0" "3" "2" "2" "0" "0" "2" "0" "0" "0" "2" "0" "0" "0" "2" "3" "2" "2" "8" "0" "4" "2" "2" "2" "2" "2" "3" "37" "3" "0" "1"
